序号	提交答卷时间	所用时间	来源	来源详情	来自IP	3、中国第一位登陆美国 NBA 的篮球运动员是	4、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	11、”问世间，情为何物“的下一句是？	12、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	15、2019年GDP总量世界排名第四的国家是？	16、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	17、李世民登基时的年龄是50岁以上还是以下？李世民登基时的年龄是___岁?（用逗号隔开两问的答案）	18、你觉得其他人上一题的第二问可能会回答什么？(如果有多个请用逗号隔开	19、橄榄球起源于哪个国家？	20、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开
1	N/A	N/A	N/A	N/A	N/A	不知道	不知道	2	不知道	Russia	Japan	28	35	不知道	不知道
2	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	Germany	Germany	28	28	Australia	UK
3	N/A	N/A	N/A	N/A	N/A	Wang	Wang	4	4	Germany	Germany	28	不知道	UK	UK
4	N/A	N/A	N/A	N/A	N/A	Song	Hu	2	不知道	Japan	UK	56	58	UK	不知道
5	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Germany	28	28	UK	UK
6	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	没有	China	UK	27	不知道	图都	旅途愉快
7	N/A	N/A	N/A	N/A	N/A	Yao	Yao	3	3	Germany	Germany	27	27	UK	US
8	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	6	China	China	28	30	UK	US
9	N/A	N/A	N/A	N/A	N/A	Wang	Yao,Wang,Ba	2	3	Japan	欧盟	28	30多	UK	US,UK
10	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Japan,India	27	30	UK	US
11	N/A	N/A	N/A	N/A	N/A	Song	Yao	4	4	Germany	China	28	28,30,40,50	UK	UK
12	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Japan,India	27	任意	UK	US
13	N/A	N/A	N/A	N/A	N/A	Yao	Yao	3	3	Japan	US	28	30,28	UK	UK,德国,巴西
14	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	China	Germany	40	30	UK	UK
15	N/A	N/A	N/A	N/A	N/A	Yao	Yi	2	2	Germany	Germany	30多	20多	US	US,UK,德国
16	N/A	N/A	N/A	N/A	N/A	不知道	不知道	3	不知道	Germany	US	27	30	US	US
17	N/A	N/A	N/A	N/A	N/A	不知道	Yao	4	4	China	China	28	28	意大利	法国
18	N/A	N/A	N/A	N/A	N/A	Yao	Yao	4	4	Germany	Germany	52	不知道	US	德国
19	N/A	N/A	N/A	N/A	N/A	Song	Song	2	2	Germany	Japan	28	30	UK	UK,US
20	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	4	Germany	Germany	28	不知道	US	法国
21	N/A	N/A	N/A	N/A	N/A	Wang	Wang,Ba,Yao	1	2	Germany	Germany,India	28	40	UK	UK
22	N/A	N/A	N/A	N/A	N/A	Wang	Wang	1	直教生死相许？	Germany	Japan,India	27	27	UK	UK
23	N/A	N/A	N/A	N/A	N/A	Yao	李宁	5	3	Japan	China	28	28	UK	荷兰
24	N/A	N/A	N/A	N/A	N/A	Song	Song	2	2	Germany	China	27	32	UK	UK
25	N/A	N/A	N/A	N/A	N/A	Wang	Yao	1	2	Germany	Germany	27	45	UK	UK
26	N/A	N/A	N/A	N/A	N/A	Yao	林书豪	2	4	China	China	27	50	UK	US,德国
27	N/A	N/A	N/A	N/A	N/A	Yao	Yao,林书豪	直教死生相许	赤练仙子李莫愁	Germany	UK	28	27	US	US
28	N/A	N/A	N/A	N/A	N/A	Wang	Yao,Yi,林书豪	2	不过是一物降一物	Germany	France,Japan	28	28	UK	US
29	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	2	Germany	Germany,Japan	45	52	UK	UK
30	N/A	N/A	N/A	N/A	N/A	Yao	Yao	只收人生死相许	只收人生死相许	UK	India	28	30	UK	UK
31	N/A	N/A	N/A	N/A	N/A	Yao	李宁	5	人困苦情更苦短	China	UK,France	51	40	US	UK
32	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	4	Germany	Germany,France	30	40	UK	US
33	N/A	N/A	N/A	N/A	N/A	Song	Yao,Yi,Ba,Song	2	2	Germany	Japan,China	27	30,50	US	US
34	N/A	N/A	N/A	N/A	N/A	Yao	Yi	直叫人以生死相许	生死相依	Germany	Japan	28	28	US	UK
35	N/A	N/A	N/A	N/A	N/A	Yi	林书豪,Yao	2	4	韩国	Japan,加拿大,Russia	27	27	UK	法国
36	N/A	N/A	N/A	N/A	N/A	Yao	Yao	2	6	UK	UK,Japan	28	28	US	UK,US,Australia
