序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、1950年世界上人口最多的城市是	2、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	3、哥伦比亚大学位于哪个城市	4、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	5、哈佛大学位于哪个城市	6、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	7、右图是哪个美国漫画中的超级英雄的标志	8、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	9、右图是哪个美国漫画中的超级英雄的标志	10、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	11、福尔摩斯的助手叫什么	12、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	13、蝙蝠侠的助手叫什么	14、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	15、右图是哪个国家的国旗	"16、你认为其他人可能回答的答案是（如果有多个请用逗号隔开）"	17、澳大利亚的首都是哪个城市	18、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	19、著名音乐家肖邦是哪国人	20、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	21、1984年夏季奥运会在哪个城市举办	22、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	23、世界七大奇迹之一的亚历山大灯塔位于哪个国家	24、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	25、世界七大奇迹之一的空中花园位于哪个国家	26、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）
1	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork	Cambridge	Cambridge	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Sydney	Sydney	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道
2	N/A	N/A	N/A	N/A	N/A	China	China,印度	温哥华	Columbia,温哥华	NewYork	NewYork	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	摩洛哥	不知道	Canberra	Canberra	Poland	UK,Germany	NewYork	NewYork,Tokyo	不知道	不知道	Babylon	Babylon
3	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,London,Tokyo	NewYork	NewYork,圣地亚哥,费城,旧金山,洛杉矶	Cambridge	Cambridge,NewYork,费城,Boston	不知道	不知道	CaptainAmerica	CaptainAmerica,CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Melbourne	Poland	Poland,France,Austria,Germany	不知道	Atlanta,LosAngeles	不知道	不知道	Babylon	Babylon,Iraq,叙利亚
4	N/A	N/A	N/A	N/A	N/A	NewYork	Peking	不知道	不知道	加州	NewYork	漫威	DC	Marvel	Marvel	花生	花生	不知道	不知道	不知道	土耳其	Canberra	Canberra	Germany	意大利	不知道	US	US	US	日本	US
5	N/A	N/A	N/A	N/A	N/A	China	印度,China	Columbia	Columbia	西雅图	Washington,西雅图	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	瓦坎达	瓦坎达	Melbourne	Melbourne,Sydney,Canberra	Poland	Germany,Poland	汉城	汉城,首尔	意大利	意大利,Egypt	以色列	Babylon,以色列
6	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Sydney	Sydney,Melbourne	Austria	Austria	日本	日本	US	US	Babylon	Babylon
7	N/A	N/A	N/A	N/A	N/A	NewYork	Shanghai,Peking,德里,London,NewYork	NewYork	Columbia,London	新英格兰	NewYork	GreenLantern	不知道	CaptainAmerica	超人	Watson	Watson	Robin	Robin	不知道	瑞士	Melbourne	Sydney,Melbourne	Poland	Austria	LosAngeles	Tokyo	Egypt	意大利	Babylon	Iran
8	N/A	N/A	N/A	N/A	N/A	山东	河南	Columbia	Columbia	Harvard	Harvard	Hulk	Hulk	Marvel	Marvel	腐尔摩斯	腐尔摩斯	蝙蝠	蝙蝠	泰国	日本	澳大利亚首都	澳大利亚	UK	UK	荷兰	荷兰	US	US	US	US
9	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	NewYork	Boston	Boston	不知道	复仇者联盟,GreenLantern	复仇者联盟	复仇者联盟	Watson	Watson,盲生	不知道	不知道	不知道	不知道	Canberra	Canberra,Melbourne	Poland	Poland,France	LosAngeles	LosAngeles,巴塞罗那	Egypt	Egypt	Iraq	Iran,Iraq
10	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork,Columbia	Cambridge	Cambridge,Boston	不知道	不知道	不知道	不知道	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Germany	Germany,France	不知道	不知道	不知道	不知道	不知道	不知道
11	N/A	N/A	N/A	N/A	N/A	NewYork	Tokyo,Shanghai,London,巴黎	NewYork	Columbia,温哥华	Boston	NewYork,费城	GreenLantern	青蜂侠	CaptainAmerica	Ironman	Watson	华沙,公孙策	不知道	小丑,X博士	不知道	瑞士,波兰	Canberra	Sydney,Melbourne	Poland	Germany,France,意大利	Tokyo	LosAngeles,NewYork,London,Tokyo	不知道	巴西,Egypt,波兰	Babylon	哥伦比亚,巴西,埃及
12	N/A	N/A	N/A	N/A	N/A	Peking	Peking	不清楚	不清楚	NewYork	伦敦	不清楚	不清楚	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不清楚	不清楚	Canberra	Canberra	France	UK	不清楚	不清楚	不清楚	不清楚	France	不清楚
13	N/A	N/A	N/A	N/A	N/A	河南	山东,河南	Columbia	Columbia	Harvard	Harvard	雷神	钢铁侠	CaptainAmerica	CaptainAmerica	尼古拉斯凯奇	柯南	夏洛克	福尔摩斯	日耳曼	土耳其,日耳曼	澳大利亚	澳大利亚	UK	UK,France	London	London,奥地利	US	France,UK,US	France	France,UK
14	N/A	N/A	N/A	N/A	N/A	China	US	NewYork	Washington	NewYork	Washington	Hulk	神奇女侠	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	西班牙	瑞士	Canberra	Canberra	Germany	Germany	悉尼	NewYork	Egypt	Egypt	土耳其	土耳其
15	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,Bombay,London	NewYork	NewYork	Boston	Boston,Cambridge	不知道	不知道	Ironman	Ironman	Watson	Watson	不知道	不知道	不知道	不知道	Melbourne	Melbourne,Sydney	Poland	Poland	Tokyo	Tokyo	加拿大	加拿大	不知道	不知道
16	N/A	N/A	N/A	N/A	N/A	London	Peking,华盛顿	NewYork	Columbia	Cambridge	Washington,NewYork	不知道	不知道	CaptainAmerica	Ironman	Watson	Watson	Robin	Robin,芭芭拉	不知道	瑞典,芬兰	Canberra	Sydney,Melbourne	Germany	France,Austria	LosAngeles	NewYork,Tokyo	Egypt	Egypt	埃及	埃及
17	N/A	N/A	N/A	N/A	N/A	不知道	Peking,Shanghai,NewYork	哥伦比亚的某个城市	悉尼	NewYork	伦敦	不知道	Batman,蜘蛛侠,钢铁侠	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	青蜂侠	不知道	不知道	Sydney	Sydney	不知道	Germany,France,US,UK	不知道	Tokyo	不知道	US,UK,德国	不知道	US,UK,德国
18	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork,London,Tokyo	NewYork	NewYork	Boston	Boston	GreenLantern	不知道,GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	Latvia	Latvia	Canberra	Canberra,Sydney	Poland	Poland,Germany	LosAngeles	LosAngeles	Egypt	Greece,Egypt	Iraq	Iraq,叙利亚
19	N/A	N/A	N/A	N/A	N/A	Shanghai	Peking	Columbia	Columbia	伦敦	伦敦	Arrow	Hulk	CaptainAmerica	CaptainAmerica	福生	福生	敲钟人	敲钟人	瑞典	瑞典	多伦多	多伦多	Germany	Germany	Athens	Athens	Alexandria	Alexandria	埃及	埃及
20	N/A	N/A	N/A	N/A	N/A	China	US	Columbia	Columbia	Boston	Boston	Hulk	Hulk	CaptainAmerica	CaptainAmerica	戈多	戈多	小马	小王	US	US	Canberra	Sydney	Poland	Germany	LosAngeles	LosAngeles	US	US	印度	印度
21	N/A	N/A	N/A	N/A	N/A	不知道	不知道	Columbia	Columbia	Cambridge	Cambridge	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	什么福	不知道	不知道	不知道	Canberra	Canberra	不知道	不知道	不知道	不知道	Greece	不知道	不知道	不知道
22	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork	Boston	Boston	Arrow	Arrow	CaptainAmerica	CaptainAmerica	约翰·华生	Watson	不知道	正确答案	不知道	不知道	Sydney	Sydney	Germany	Germany	不知道	不知道	不知道	不知道	埃及	埃及
24	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	不知道	不知道	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	丹麦	丹麦	Canberra	Canberra	Germany	Germany	LosAngeles	LosAngeles	Greece	Greece	Babylon	Babylon
26	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork,Washington	不知道,	NewYork,不知道	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	Melbourne	Melbourne	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道
27	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,墨西哥城,Peking	NewYork	Columbia,NewYork	Boston	Harvard	Arrow	Batman,Arrow,钢铁侠	CaptainAmerica	CaptainAmerica	Watson	Watson	蝙蝠车	蝴蝶侠	苏丹	苏丹	Canberra	Sydney,Melbourne,Canberra	Poland	Germany,Austria,Poland	LosAngeles	LosAngeles,Atlanta	Egypt	Egypt,希腊.,罗马	Babylon	Babylon
28	N/A	N/A	N/A	N/A	N/A	不知道	China	US	US,英国	英国	英国	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	温哥华	温哥华	Germany	Germany,France	不知道	NewYork	不知道	不知道	不知道	UK,US,France
29	N/A	N/A	N/A	N/A	N/A	莫斯科	莫斯科	不知道	不知道	Boston	Boston	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	Canberra	Sydney,Canberra	Poland	Poland	巴塞罗那	巴塞罗那	不知道	不知道	黎巴嫩	黎巴嫩
30	N/A	N/A	N/A	N/A	N/A	Peking	NewYork	US	英国	英国	英国	美女	美女	CaptainAmerica	CaptainAmerica	医生	医生	医生	医生	俄罗斯	俄罗斯	威廉	威廉	UK	UK	上海	上海	澳大利亚	澳大利亚	埃及	埃及
31	N/A	N/A	N/A	N/A	N/A	NewYork	Peking	波士顿	Columbia	不知道	不知道	Batman	不知道	超人	超人	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra	Poland	Poland	Tokyo	不知道	Greece	不知道	Iraq	Iraq
32	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道
34	N/A	N/A	N/A	N/A	N/A	Tokyo	Shanghai,NewYork,London,Tokyo,巴黎,Bombay	NewYork	NewYork,波哥大	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Latvia	Latvia,Austria	Canberra	Canberra,Melbourne,Sydney	Poland	Germany,Austria,捷克斯洛伐克,Poland	LosAngeles	LosAngeles	Egypt	Egypt,Greece	巴比伦,伊拉克	Iraq,Iran
