序号	提交答卷时间	所用时间	来源详情	来自IP	1、您的围棋段位是？	2、黑先,净活	3、上一题你认为其他人比较可能选择的位置	4、黑先,净活	5、上一题你认为其他人比较可能选择的位置	6、黑先,净活	7、上一题你认为其他人比较可能选择的位置	8、黑先,净活	9、上一题你认为其他人比较可能选择的位置	10、黑先,净杀	11、上一题你认为其他人比较可能选择的位置	12、黑先,净杀	13、上一题你认为其他人比较可能选择的位置	14、黑先,净杀	15、上一题你认为其他人比较可能选择的位置	16、黑先,净杀	17、上一题你认为其他人比较可能选择的位置	18、黑先,净杀	19、上一题你认为其他人比较可能选择的位置	20、黑先,净杀	21、上一题你认为其他人比较可能选择的位置
1	N/A	N/A	N/A	N/A	N/A	T16	S15	Q19	Q17	T16	S16	S17	S15	S19	S16	T16	R19	T17	S14	T15	S16	T18	T16	S17	T13
2	N/A	N/A	N/A	N/A	N/A	S16	S16	Q17	Q17	P16	Q15	S17	S17	S19	S19	R18	S19	S16	S16	R16	R16	T17	T17	S17	S17
3	N/A	N/A	N/A	N/A	N/A	T16	S15	Q19	Q19	S16	S16	T18	S17	S19	S19	Q19	Q19	T18	T18	T15	T15	T16	T16	T18	T18
4	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	S16	S17	S17	T18	T18	R19	R19	T15	T15	T18	T18	T16	T16	S17	S17
5	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	S16	T18	T18	S19	S19	Q19	Q19	T18	T18	T15	T15	T16	T16	T18	T18
6	N/A	N/A	N/A	N/A	N/A	S15	S15	Q17	Q17	S16	S16	S17	S17,S15	S16	S16	R17	R17	T17	T17,T16	R16	R16,T15	T17	S16,T17,T18	S17	S17
7	N/A	N/A	N/A	N/A	N/A	T16	T17	Q19	Q17	S16	T18	T18	S17	S19	Q18	Q19	R19	T18	T17	T15	R16	T16	S15	T18	T17
8	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19,Q18	S16	S16,T18	T18	T18,S17	S19	S19,T18	S19	S19,R19	T18	T18,T17	T15	T15	T16	T16,S15,T18	T18	T18,S17
9	N/A	N/A	N/A	N/A	N/A	S16	S16,T17	Q17	Q18,Q17	S16	S16,P16	S17	S17	S16	S16,Q18,S19	Q18	Q18,R17	T17	T17,Q19	S16	S16,T15	T17	T17	不知道	不知道
10	N/A	N/A	N/A	N/A	N/A	T17	T17	Q17	Q17	P16	P16	S17	S15	S16	S16	R17	T16	S17	S17	S16	S16	T16	T16	T17	T17
11	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	S16,T18,Q18	T18	T18,S17	S19	S19,Q18,T18,S16	R19	R19,S19	T18	T18,T17	T15	T15	T16	T16,R19	T18	T18,S17
12	N/A	N/A	N/A	N/A	N/A	T17	T17,S15	Q19	Q19,Q17	N18	N18	T18	T18	S19	S19,S18	S19	S19	T15	T15,T16	S16	S16	T16	T16	S17	S17
13	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	T18	T18	S17	S17	S16	S16	R19	R19	T18	T18,T17,T16	T15	T15	T16	T16	T18	T18
14	N/A	N/A	N/A	N/A	N/A	T16	T17	Q19	Q18	S16	T18	T18	S17	S19	Q18	S19	R19	T18	T15	T15	S14	T16	T18	T18	T17
15	N/A	N/A	N/A	N/A	N/A	T17	T15	Q19	T18	S16	T18	S17	S17	S19	S19	S19	Q19	S17	T17	T15	S14	S15	S15	S17	T17
16	N/A	N/A	N/A	N/A	N/A	T16	T16	Q17	Q17	S16	S16	T18	S17	Q18	Q18	Q19	Q19	T15	T17	T15	T15	S15	S15	T18	S17
17	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	S16,T18	T18	S17	S19	S19,Q18	Q19	Q19,R19	T18	T18,T17,T16	T15	T15	T16	T16,S15	T18	T18
18	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q17	Q18	Q18	T18	T18	S16	S18	R19	S19	S17	S17	T15	S16	T16	T16	T18	T17
19	N/A	N/A	N/A	N/A	N/A	T17	T16,S16	Q18	P19,T18	S16	S17,Q18	S17	S15	T18	S19,T17	T16	R19	T17	S17,S16	T15	S16	T16	T17	S17	T15
20	N/A	N/A	N/A	N/A	N/A	T17	T16	Q18	Q18	S16	S16	S17	不知道	S19	S19	Q19	Q19	不知道	不知道	T15	T15	S15	S15	S17	S17
21	N/A	N/A	N/A	N/A	N/A	T16	T17,S15	Q19	Q17,T18	N18	S16,T18,Q18	T18	S17,S18	S19	Q18	R19	S19	T18	T17,T16,T15	T15	S16,T18	T16	S15,T17,T18,R19	T18	S17
22	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	P19,Q19	S16	S16,T18	T18	T18,S17	S19	O18,S19	S19	Q18,R19,S19,Q19	T18	T18,T14	T15	T15	T18	T18,T17	T18	T18,T17,S17
23	N/A	N/A	N/A	N/A	N/A	T16	T17	Q19	P19,Q17,Q18,T18	S16	T18,Q18	S17	S15	S19	Q18,S16,T18	Q19	T16,S19,R19	T18	T17	T15	R16	T16	T18	T18	S17,T17
24	N/A	N/A	N/A	N/A	N/A	T16	T17	Q19	Q18	S16	T18	S17	S15	不知道	S16	R19	Q19	T18	T17	T15	S16	S15	T16	S17	T18
25	N/A	N/A	N/A	N/A	N/A	T16	T16,T17	Q19	Q19,Q18	S16	S16	S17	S17	Q18	T18,S19	S19	R19、Q19	T18	T17,T16	T15	R16	T16	T16,T18	T18	T18,T17
26	N/A	N/A	N/A	N/A	N/A	T17	S15	Q19	T18	S16	T18	S17	R17	Q18	S16	R19	T16	T17	S17	T16	S14	T16	T18	S17	T14
27	N/A	N/A	N/A	N/A	N/A	S15	S15	Q18	Q18	T18	T18	S17	S17	S19	S19	T16	T16	T16	T16	T15	T15	T16	T16	S17	S17
28	N/A	N/A	N/A	N/A	N/A	T16	T18	Q19	Q18	T16	N18	T18	S17	S19	S18	S19	R18	T18	S17	T15	R16	T16	T18	T18	T17
29	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	S16	S17	S17	S18	S18	Q19	Q19	T18	T18	T15	T15	S15	S15	T18	T18
30	N/A	N/A	N/A	N/A	N/A	T16	T16,S15,T17	Q19	Q19,P19,Q18	S16	S16,T18	T18	T18	S19	S19	Q19	S19,Q19,R19	T18	T18,T17	T15	R16,T15	T16	T16,S15	T18	T18,T17
31	N/A	N/A	N/A	N/A	N/A	T17	T17	Q18	Q18	O16	O16	S17	不知道	S18	S18	不知道	不知道	T17	T17	S16	S16	T16	T16	T13	T13
32	N/A	N/A	N/A	N/A	N/A	T16	T16	Q19	Q19	S16	T18	T18	S17	S19	Q18	Q19	S19	T18	T15	T15	T15	T16	S15	T18	S17
33	N/A	N/A	N/A	N/A	N/A	T16	T16,T17	Q19	Q19,P19,Q18	S16	S16,T18,Q18	S17	S17	S19	S19	R19	R19,S19	T18	T18,T17	T15	T15	T16	T16	T18	T18,S17
