序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、黑先净杀	2、上一题你认为其他人比较可能选择的位置	3、黑先净杀	4、上一题你认为其他人比较可能选择的位置	5、黑先劫杀	6、上一题你认为其他人比较可能选择的位置	7、黑先净杀	8、上一题你认为其他人比较可能选择的位置	9、黑先净杀	10、上一题你认为其他人比较可能选择的位置	11、黑先净活	12、上一题你认为其他人比较可能选择的位置	13、黑先净杀	14、上一题你认为其他人比较可能选择的位置	15、黑先净杀	16、上一题你认为其他人比较可能选择的位置	17、黑先净活	18、上一题你认为其他人比较可能选择的位置	19、黑先劫活	20、上一题你认为其他人比较可能选择的位置
1	N/A	N/A	N/A	N/A	N/A	E4	E4	G1	C2	B1	D2	A2	B1	F4	C4	C3	A3	F2	F2	C1	D2	D3	E1	B8	B8
2	N/A	N/A	N/A	N/A	N/A	F2	F1	C2	A2	D2	D1	D1	C1	G4	D4	C7	C8	F2	E1	E3	G2	C2	D1	B7	A4
3	N/A	N/A	N/A	N/A	N/A	F1	F1	C2	C2	D2	D2	C1	C1	G4	G4	C7	C7	F2	F2	E2	E2	C2	C2	A8	A8
4	N/A	N/A	N/A	N/A	N/A	E4	F1	G1	B3	F1	D1	A2	B1	H6	C4	B3	C4	C1	D1,E1	G2	E1	C1	C2	B7	A9
5	N/A	N/A	N/A	N/A	N/A	F1	F2	A2	B1	F1	D1	A2	C1	H6	G4	C4	不知道	F1	E1	H1	不知道	C1	不知道	C5	B6
6	N/A	N/A	N/A	N/A	N/A	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
7	N/A	N/A	N/A	N/A	N/A	F1	G2,E1,F1	B3	A3,B3	E3	E3	A2	D1,A3,A2	G4	H6,D4,G4	C7	C4,B3,C7	F2	D2,G1,F2	D2	D2,E2	C2	C2	B7	B7,A10,B6
8	N/A	N/A	N/A	N/A	N/A	E4	E4,F1	G1	G1,A2	F1	F1,B1	A2	A2,C1	H6	H6	B6	B6,C4	D1	D1,C2,F2	C1	C1,G2	B1	B1,D1	B6	B6,A9
9	N/A	N/A	N/A	N/A	N/A	E4	E4,F1	G1	G1,B1	F1	F1	A2	A2	H6	H6,C4	B3	B3	F2	F2,F1	C1	C1	C2	C2	A8	A8,A7,B6
10	N/A	N/A	N/A	N/A	N/A	E4	F1	G1	C1,A2	F1	D1	A2	C1	H6	C4	B3	C4	C2	F2	D2	E3	C1	C2	B7	B6
11	N/A	N/A	N/A	N/A	N/A	F1	E4.F2	A2	C1,B1,C2	B1	C1,D1,D2	C2	B2,A2	G4	G5	C3	C2,A2	F2	G2,E2	E2	D2,G1	B2	C2	B8	A8,B7
12	N/A	N/A	N/A	N/A	N/A	E4	F1	A2	C1	D2	D1	C1	C2	E4	G4	B3	C4	F1	F2	D2	E2	C2	E1	A8	B6
13	N/A	N/A	N/A	N/A	N/A	F1	E4	G1	C1	F1	F1	A2	C2	H6	G4	C4	B3	D1	E1	C1	E2	C1	C2	B8	B6
