序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1.球内任取四点,连起来构成的三棱锥包括球心的概率是多少？	2.你觉得其他人上一题可能会回答什么？(如果有多请用逗号隔开：比如一种答案可能是：1/2,2/3,3)	3. 请计算下式:	4.你觉得其他人上一题可能会回答什么？(要求同上)	5.有各棱长均相等的一正三棱锥和一正四棱锥,当将它们的一侧面完全重合地粘贴在一起后,新形成的几何体有几外露面？	6.你觉得其他人上一题可能会回答什么？(要求同上)	7.已知小数0.1234567891011121314...是一由连续自然数拼接组成的无限不循环小数,问小数点后面出现的第一201中的2是小数点后面第几位？	8.你觉得其他人上一题可能会回答什么？(要求同上)	9.幼儿园老师小M让所有小盆友站成一横排发水果,分法如下：从左边第一人开始,每隔2人发一梨。从右边第一人开始,每隔4人发一苹果。共有9小盆友既得到了梨,又得到了苹果。幼儿园最多有多少小朋友？	10.你觉得其他人上一题可能会回答什么？(要求同上)	11.一四分钟标准的沙漏和一五分钟标准的沙漏进行6分钟的计时,中途至少需要将沙漏颠倒几?	12.你觉得其他人上一题可能会回答什么？(要求同上)	13.图中是一直径为2的半圆,点C,D,E将直径AB平分成四份,用○标出的角度均为45°,请问蓝色部分和黄色部分的面积相差多少？	14.你觉得其他人上一题可能会回答什么？(要求同上)	15.有无数石头从1号开始排成一列,Alice从1号石头出发,每丢一六面骰决定向前走几石头。用p(x)表示Alice经过第x石头的概率(比如p(1)=1,p(2)=1/6),请问当x趋向于无穷时,p(x)会收敛到几？	16.你觉得其他人上一题可能会回答什么？(要求同上)	17.如下图,九边长为正整数的正方形无重叠无间隙地拼成了一矩形,求这矩形面积的最小值。	18.你觉得其他人上一题可能会回答什么？(要求同上)	19.如图,矩形的一条长平均分成了六份,另一条长平均分成了四份。如果蓝色三角形的面积是18,那么“?” 所在的部分的面积是多少？	20.你觉得其他人上一题可能会回答什么？(要求同上)
2	N/A	N/A	N/A	N/A	N/A	1/4	1/2	1/2	1/2	7	7	55	100	66	77	2	1	2	2	1	1	256	225	75	90
3	N/A	N/A	N/A	N/A	N/A	3/4	3/5,1/2,4/5	n²	1/n	7	8	6	5/4/3	45	39,42	3	2/4	0.33	0.3	2	1/3	1	3/5	15	18
4	N/A	N/A	N/A	N/A	N/A	3/4	5/7	1	n	6	6	14	21	39	39	3	4	1/2	1/3	1	1/2	1/aˆ2	1/a	36	36
7	N/A	N/A	N/A	N/A	N/A	1/2	3/4	1/2	1/2	7	7	50	100	36	50	3	2	10	5	1/3	1/3	1	9	36	54
8	N/A	N/A	N/A	N/A	N/A	1/4	1/5	1	3	7	7	2000	1500	132	132	1	1	pi	Pi	1/2	1/2	0.4	0.4	25	25
9	N/A	N/A	N/A	N/A	N/A	3/4	1/4,0	1/2	1/2	5	3,9	782	783	141	158	3	4	1/3派	0	4	4	27	38	27	18
10	N/A	N/A	N/A	N/A	N/A	1/8	1/8	1/2	0	8	8	251	251	37	37	3	3	1/2	1/2	0	0	18	20	30	30
11	N/A	N/A	N/A	N/A	N/A	1/2	3/4	0	1/2	7	7	251	493	50	50	4	4	1	1	1/6	1/6	9	9	52	52
12	N/A	N/A	N/A	N/A	N/A	1/2	1/2	0	0	7	7	1314	6666	53	88	3	2	1/3	1/2	0	0	324	400	36	36
13	N/A	N/A	N/A	N/A	N/A	1/3	2/3	0	0	7	8	3	8	12	12	4	6	2pai	pai	1	1/2	1/2	0	48	48
14	N/A	N/A	N/A	N/A	N/A	1/2	1/2	1/2	0	7	5	2010	2010	135	135	2	2	1.57	1.57	1/6	1/6	100	100	36	36
15	N/A	N/A	N/A	N/A	N/A	1/3	1/4,3/4,0	1/2	1/2	5	4,7	738	756	141	158	5	3,7	3/4派	0,1/2派	6	5	27	18	24	18
17	N/A	N/A	N/A	N/A	N/A	1/2	1/2,2/3	不知道	不知道	8	8	1304	1304	34	34	2	2	相差很多	相差很多	4	4	2,3	2,3	39	39
18	N/A	N/A	N/A	N/A	N/A	1/4	1/6	n	1/n	5	5	1000	900	36	36	2	2	1/8π*π	1/6π*π	100	1000	1/1000	1/100	56	46
19	N/A	N/A	N/A	N/A	N/A	1/2	1/2	0	1/2	6	6	99	89	38	36	3	2	2pi	2pi	1/6	1/6	81	49	63	54
22	N/A	N/A	N/A	N/A	N/A	1	1/2,1	0	0	7	7,8	2	3	9	9	2	1	0	0	0	0	0	0	36	18,36
24	N/A	N/A	N/A	N/A	N/A	3.141596	3/2	1/2	1/2,1/3	7	7	402	402	15	15	30	30	45派	45派	3	3	1/9	1/9	9	9
25	N/A	N/A	N/A	N/A	N/A	1	1	n平方减一分之n平方	1	8	1/7	31	1/30	32	1/34	1	2	1/3	1/2	1/10	1	0	1	80	78
26	N/A	N/A	N/A	N/A	N/A	1/8	1/2	1/2	1/2,0	7	7	400	400	143	143	1	1,2	2	2	0	0	1056	1056	56	50,52,56
27	N/A	N/A	N/A	N/A	N/A	8/35	2.2	3	2/3	5	2/5	6	1/6	23	24	4	4	8	7/1.5	5	4	1	18	2	1
28	N/A	N/A	N/A	N/A	N/A	1	1	n的平方	2	7	8	30	29	32	34	1	1	1/3	2	0	1	0	1	90	72
29	N/A	N/A	N/A	N/A	N/A	3/4	1/2,1/4	1/2	1/3,2/3	7	6	782	783,781	141	142,140	2	3,4	1/4π	1/3π,1/2π	5	1,0	196	225,169	6	12
30	N/A	N/A	N/A	N/A	N/A	1	1/2,1	0	0	7	7,8	2	3	9	9	2	1	0	0	0	0	0	0	36	36,18
31	N/A	N/A	N/A	N/A	N/A	1/2	1/2	1/2	1,1/2	7	7	664	450	143	143	1	1,2	1/2	1,'1/2	0	0	1056	1056	52	54
32	N/A	N/A	N/A	N/A	N/A	1/2	2/3	1/2	2	5	9	325	3226	158	158	3	2	1/2	2	1	2	196	291	28.26	6
33	N/A	N/A	N/A	N/A	N/A	1/4	1/2,1/4,1/8	0	0,1/2	7	7	251	250,251,252	121	121,124	2	2,3	1/4	1/4,pi/12	2/7	1/2,1/3,2/7,1/6	1056	1056	52	52,54
34	N/A	N/A	N/A	N/A	N/A	1/2	1/2	1	1	7	7	1255	1255	26	29	3	3	1/4π	1/4π	1/1000	1/1000	5	5	36	36
35	N/A	N/A	N/A	N/A	N/A	1/3	1/2,1/3,2/3,3/5	0	0,1	7	6,7,8	700	720,100	72	68,72	12	6,12	0.79	3.14,0.79	1	0,1	529	676,529	108	108,324
37	N/A	N/A	N/A	N/A	N/A	2	2	2	3/1	6	5,9	296	328	158	276	2	3	2	2/2	1	4/1	196	269	2	6
38	N/A	N/A	N/A	N/A	N/A	1	1,1/2	0	0,1	7	7,8	2	2,3	9	9,10	2	2,3	0	0	0	0	0	0	36	18,36
39	N/A	N/A	N/A	N/A	N/A	1/2	2	2	1/2	9	5,6	206	258	158	276	2	2	2	2	1	4	196	286	2	5
40	N/A	N/A	N/A	N/A	N/A	1/4	1/4	0	0,1/2	7	6,7	248	248,493	139	135,136,137,138,139	8	6,7,8,9	0.3535	0.3535	1/6	1/6	552	552,529,576	24	24
41	N/A	N/A	N/A	N/A	N/A	1/3	2/3	1/2	0,1/2	7	7	251	251	135	135	2	2	1/6	1/6	0	0	121	121	36	36
42	N/A	N/A	N/A	N/A	N/A	3/4	2/3	1/2	1/3	6	7	35	34	10	9	6	5	3	2	1	0	18	14	25	36
44	N/A	N/A	N/A	N/A	N/A	1/2	1/2	0	0	8	7	251	251	33	33	2	2	1	1	1/2	1/6	1056	1056	54	54
48	N/A	N/A	N/A	N/A	N/A	派3.41	2/3	根号3.78	根号3.78	5	5	200	第200位	8	8	4	4	三十度	三十度	6	6	23	23	6	6
49	N/A	N/A	N/A	N/A	N/A	3/4	3/4	0	0	7	7	28	28	141	1410	2	2	1/2	1/2	1	1	9	9	54	54
51	N/A	N/A	N/A	N/A	N/A	1/2	概率	0	极限	6	几何	58	找规律	20	方程式	3	不知道	π/8	面积	3	收敛	1	几何	36	几何
54	N/A	N/A	N/A	N/A	N/A	65/90	7/10	1	1	7	6	92	156	15	20	3	3	2	2.5	1	1	289	256	35	32
56	N/A	N/A	N/A	N/A	N/A	1/8	1/4,1/8	0	0,1	7	7,6	191	190,191	158	136,158	1	1,2,3	0.25	0.25,0	1/6	1/6	1056	1155	52	50,54
57	N/A	N/A	N/A	N/A	N/A	1	1/2,1	0	0	7	7,8	2	2,3	9	10,9	2	2,3	0	0	0	0,1	0	0	36	18,36
2	N/A	N/A	N/A	N/A	N/A	2	1,'2	2	2,'2	9	5,6	258	322	158	187,58,96	2	2,4,8	2	2,'2,4/3	1	9	196	159,258	2	2,4/1
4	N/A	N/A	N/A	N/A	N/A	8/35	2.2	4	2	16	8	6	6	22	26	12	12	1/2	1	1/6	2/3	4	6	6	6
12	N/A	N/A	N/A	N/A	N/A	1/2	1/2	1/2	0	7	7	161	161	48	48	3	3	0.25	0.25	1/6	1/6	144	144	54	54
13	N/A	N/A	N/A	N/A	N/A	1/8	0.2,0.375	1/n	1/n	7	7	1995	1995	36	36	2	2	0.33π	0.33π	1/2	1/2	221	221	36	36
19	N/A	N/A	N/A	N/A	N/A	2/3	2/3	1/2	1/2	7	7	251	493	39	39	2	2	1/2	1/2	1/2	1/6	21	17	36	36
20	N/A	N/A	N/A	N/A	N/A	1/3	3/8,4/9	6/7	3/4,5/9	9	5	46	34,28	34	44,38	5	6,7	1/3	1/4	1	1/2	1	1/3,1/5	40	33,38
21	N/A	N/A	N/A	N/A	N/A	1/2	01/2,1/3,2/3	1	0,1	7	6,7,8,9	30	29,30,31	24	18,24,32	1	1,2	1/3	1/2,1/3	1	1,2,3	100	100,160	36	20,24,36
22	N/A	N/A	N/A	N/A	N/A	4/5	2/5,1/2,7/10	373	637	7	7	8	8	57	37	2	1	47	74	5	5	40	50	360	300
23	N/A	N/A	N/A	N/A	N/A	1/2	2/3	500	467	9	5	22	20	5	4	10	5	1/2	1	5	30	2	1	25	20
25	N/A	N/A	N/A	N/A	N/A	1/4	1/3,1/2	1/2	0	7	8,6	227	119	64	52	4	6,3	1/16	1/18	1/6	0	81	64	26	33
27	N/A	N/A	N/A	N/A	N/A	1/2	1/2	1/2	1/2	7	7	251	251	180	36	7	8	1/4	1/4	0	0	289	289	315/8	100,315/8
28	N/A	N/A	N/A	N/A	N/A	1/2	1/3	1/2	1/2	7	8	198	199	39	38,39	3	2	pi/12＋1/6	pi/12＋1/6	1/5	1/6	81	2的9方	27	27
29	N/A	N/A	N/A	N/A	N/A	1/8	1/8	0	0,1/2	5	5,7	251	251,493	143	143	2	2	1/4	-1/4,1/4	1/3	1/3	1056	1056	52	52
30	N/A	N/A	N/A	N/A	N/A	1/8	1/8,1/2,1/4	1/2	n,0,1/2	5	5,7,9	6572	6572	143	143,158	2	2	1/4	1/4	1	1	1056	1056	52	52
32	N/A	N/A	N/A	N/A	N/A	1/4	1/4	1/2	1/2,0	7	7	493	493	150	150	3	3,4	3/8	3/8	1/3	1/3	256	256	20	20
33	N/A	N/A	N/A	N/A	N/A	1/4	1/4	题目有误省略号定义有问题	0,1/2	5	5,7	251	251,493	143	143	1	1,2	1/4	1/4	2/7	1/6	1056	1056	52	52
34	N/A	N/A	N/A	N/A	N/A	1/4	1/4	1/2	1/2	7	7	30	30	30	30	3	3	1	1	0	0	4	4	80	80
