,filename,id,allans,optimal partition,optimal order corresponding to the optimal partition,frobinius norm of optimal partition,optimal order of default algorithm,frobinius norm of default algorithm
0,GeneralKnowledge1,0,"['Truman', 'Churchill']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
1,GeneralKnowledge1,1,"['Apr1', 'Dec25', 'Jan1']","[0, 1, 2]","[0, 1, 2]",0.08955223880597014,"[0, 1, 2]",0.08955223880597014
2,GeneralKnowledge1,2,"['Qing', 'Tang', 'Ming']","[2, 1, 0]","[2, 1, 0]",0.024305086711954235,"[2, 1, 0]",0.024305086711954235
3,GeneralKnowledge1,3,"['Luoyang', ""Xi'an"", 'Nanjing']","[2, 1, 0]","[2, 1, 0]",0.04627739599083572,"[2, 1, 0]",0.04627739599083572
4,GeneralKnowledge1,4,"['UK', 'France']","[1, 0]","[1, 0]",0.01282051282051282,"[1, 0]",0.01282051282051282
5,GeneralKnowledge1,5,"['Qin', 'Shang', 'Zhou', 'Xia']","[1, 0, 0, 0]","[3, 2, 1, 0]",0.07811308126216229,"[2, 1, 3, 0]",0.13283572143563108
6,GeneralKnowledge1,6,"['MaChao', 'GuanYu', 'ZhaoYun']","[1, 2, 0]","[2, 0, 1]",0.039837001756988594,"[2, 0, 1]",0.039837001756988594
7,GeneralKnowledge1,7,"['ye1', 'ge', 'ye2', 'zun', 'fu', 'die']","[2, 1, 3, 0, 5, 4]","[3, 1, 0, 2, 5, 4]",0.05832118435198043,"[3, 1, 0, 2, 5, 4]",0.05832118435198043
8,GeneralKnowledge1,8,"['posthumous', 'temple']","[1, 0]","[1, 0]",0.02631578947368421,"[1, 0]",0.02631578947368421
9,GeneralKnowledge1,9,"['US', 'Germany', 'UK']","[2, 1, 0]","[2, 1, 0]",0.10538434472644194,"[2, 1, 0]",0.10538434472644194
10,GeneralKnowledge1,10,"['Shiji', 'ZizhiTongjian', 'ZuoZhuan', 'Chunqiu']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.041644982217284056,"[3, 2, 1, 0]",0.041644982217284056
11,GeneralKnowledge1,11,"['yi', 'zhao', 'yan']","[2, 1, 0]","[2, 1, 0]",0.03571428571428571,"[2, 1, 0]",0.03571428571428571
12,GeneralKnowledge2,0,"['Song', 'Wang', 'Yao']","[1, 0, 2]","[1, 0, 2]",0.05367388961676615,"[1, 0, 2]",0.05367388961676615
13,GeneralKnowledge2,1,"['4', '3', '1', '2']","[3, 2, 0, 1]","[2, 3, 1, 0]",0.013975424859373687,"[2, 3, 1, 0]",0.013975424859373687
14,GeneralKnowledge2,2,"['UK', 'Japan', 'China', 'Germany']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.04723324398533608,"[3, 2, 1, 0]",0.04723324398533608
15,GeneralKnowledge2,3,"['50', '40', '35', '30', '27', '28']","[5, 4, 3, 2, 1, 0]","[5, 4, 3, 2, 1, 0]",0.044444444444444446,"[5, 4, 3, 2, 1, 0]",0.044444444444444446
16,GeneralKnowledge2,4,"['US', 'UK']","[1, 0]","[1, 0]",0.13793103448275862,"[1, 0]",0.13793103448275862
17,GeneralKnowledge3,0,"[""Xi'an"", 'Shaanxi']","[1, 0]","[1, 0]",0.014492753623188406,"[1, 0]",0.014492753623188406
18,GeneralKnowledge3,1,"['Heroic', 'Troubled']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
19,GeneralKnowledge3,2,"['12', '18', '15', '13-14', '16', '14', '13']","[6, 5, 3, 0, 4, 2, 1]","[3, 6, 5, 2, 4, 1, 0]",0.06015037593984962,"[3, 6, 5, 2, 4, 1, 0]",0.06015037593984962
20,GeneralKnowledge3,3,"['6', '8', '7', '5', '3', '4']","[5, 3, 1, 4, 2, 0]","[5, 2, 4, 1, 3, 0]",0.051425947722658,"[5, 2, 4, 1, 3, 0]",0.051425947722658
21,GeneralKnowledge3,4,"['1945', '1942', '1952', '1950', '1946']","[3, 4, 2, 1, 0]","[4, 3, 2, 0, 1]",0.0,"[4, 3, 2, 0, 1]",0.0
22,GeneralKnowledge3,5,"['large', 'intestine', 'tharm', 'small']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.03225806451612903,"[3, 2, 1, 0]",0.03225806451612903
23,GeneralKnowledge3,6,"['cellwall', 'protein', 'phos', 'phos_bi']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.025,"[3, 2, 1, 0]",0.025
24,GeneralKnowledge3,7,"['YaluandDooman', 'Songhua', 'Yalu']","[0, 2, 1]","[0, 2, 1]",0.0,"[0, 2, 1]",0.0
25,GeneralKnowledge3,8,"['Inter_Mon_Org', 'Inter_Mon_F']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
26,GeneralKnowledge3,9,"['Hong', 'Xiao', 'Shi']","[2, 0, 1]","[1, 2, 0]",0.07142857142857142,"[1, 2, 0]",0.07142857142857142
27,GeneralKnowledge4,0,"['Shanghai', 'London', 'Peking', 'Tokyo', 'NewYork', 'China']","[4, 2, 3, 1, 1, 0]","[5, 4, 3, 1, 2, 0]",0.07699131422414462,"[5, 4, 3, 1, 2, 0]",0.08243475095904926
